file_name,trackName,Key,Bpm
spotify-track-409u4De5LGC4tysRLZUpbz_vocals_looped_segment.wav,spotify-track-409u4De5LGC4tysRLZUpbz,G,124.0
spotify-track-6hIPoDfUkIbenbWKFaqBnD_vocals_looped_segment.wav,spotify-track-6hIPoDfUkIbenbWKFaqBnD,G,123.01
spotify-track-6BHqP7D39HAFgDmuEK6Web_vocals_looped_segment.wav,spotify-track-6BHqP7D39HAFgDmuEK6Web,Em,123.0
spotify-track-49KRuGoQAy2Y6ULX7AAgev_other_looped_segment.wav,spotify-track-49KRuGoQAy2Y6ULX7AAgev,Fm,123.77
spotify-track-6ENQvrptddCunUkoqCo80t_bass_looped_segment.wav,spotify-track-6ENQvrptddCunUkoqCo80t,G,124.0
spotify-track-6ld5LrE3fazNac1DqzEkwv_other_looped_segment.wav,spotify-track-6ld5LrE3fazNac1DqzEkwv,Fm,124.0
spotify-track-7eUfrv3UCF4XkkhXRyZqTc_drums_looped_segment.wav,spotify-track-7eUfrv3UCF4XkkhXRyZqTc,Gm,123.84
spotify-track-19Ie1uM72tawUPE7Hb4OSp_drums_looped_segment.wav,spotify-track-19Ie1uM72tawUPE7Hb4OSp,Gm,124.0
spotify-track-46zGiIUyl6V2SWA0dUM9F5_vocals_looped_segment.wav,spotify-track-46zGiIUyl6V2SWA0dUM9F5,F,124.0
spotify-track-01yfwZpRbPR4Li6VV6NH82_looped_segment.wav,spotify-track-01yfwZpRbPR4Li6VV6NH82,Abm,120.01
spotify-track-0qu1FOhu41knkgjeJ0hJ00_looped_segment.wav,spotify-track-0qu1FOhu41knkgjeJ0hJ00,Cm,123.0
spotify-track-0tr72PNdzhR1rz7L2JbDsS_vocals_looped_segment.wav,spotify-track-0tr72PNdzhR1rz7L2JbDsS,Em,124.0
spotify-track-3DqvuU3yZ9DY4eDeD1znXK_drums_looped_segment.wav,spotify-track-3DqvuU3yZ9DY4eDeD1znXK,Gm,124.0
