TrackID,Name,Artist,Album,Genre,Location,AverageBpm,Key
206525099,Love & Happiness (Yemaya Y OchÃ¹n) [feat. IndiaTito & India] (Original Mix),"River Ocean, India, IndiaTito",The Tribal - EP,Dance,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/loveandhappiness-india.aiff,124.0,Gm
233025259,lanarka-sleger,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/lanarka-sleger.wav,122.0,Eb
37650739,In Another Lifetime-012-Tinlicker feat Hero Baldwin-Rebirth,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/In%20Another%20Lifetime-012-Tinlicker%20feat%20Hero%20Baldwin-Rebirth.wav,123.96,Ab
17996538,In Another Lifetime-011-Tinlicker feat Jamie Irrepressible-I Am Free,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/In%20Another%20Lifetime-011-Tinlicker%20feat%20Jamie%20Irrepressible-I%20Am%20Free.wav,125.0,Dbm
15399986,In Another Lifetime-009-Tinlicker-Under The Stars,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/In%20Another%20Lifetime-009-Tinlicker-Under%20The%20Stars.wav,124.0,Em
13849937,In Another Lifetime-007-Tinlicker-Xanadu,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/In%20Another%20Lifetime-007-Tinlicker-Xanadu.wav,124.0,Em
158878405,In Another Lifetime-006-Tinlicker feat Nathan Nicholson-Always Will,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/In%20Another%20Lifetime-006-Tinlicker%20feat%20Nathan%20Nicholson-Always%20Will.wav,123.0,Dbm
223907019,In Another Lifetime-004-Tinlicker feat Roos Jonker-Come Back Home,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/In%20Another%20Lifetime-004-Tinlicker%20feat%20Roos%20Jonker-Come%20Back%20Home.wav,123.0,Fm
36737579,In Another Lifetime-001-Tinlicker-Mesmerized,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/In%20Another%20Lifetime-001-Tinlicker-Mesmerized.wav,125.01,Dm
121238714,Hold On To You (In My Next Life Extended Mix),"Ane Brun, Andrew Bayer",Hold On To You,House,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/holdontoyou-andrewbayer.aiff,128.0,Db
237908630,gratitude-aboveandbeyond,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/gratitude-aboveandbeyond.wav,128.05,Gm
227090213,escalate-bbohmer,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/escalate-bbohmer.wav,124.0,Bbm
17408570,chains-aboveandbeyond,,,,file://localhost/Users/xaviergonzalez/Library/Mobile%20Documents/com~apple~CloudDocs/Documents/Repos/dji/music_copy/chains-aboveandbeyond.wav,128.07,Abm
